Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Ned Grabavoy,,M,4,4,298,1,0,6,3,0,0/0,0,1,0.3,16.7,0,0,0,0,3,6,0,0,0,50,2005,post
Jack Stewart,,D,2,2,164,1,0,7,3,1,0/0,0,1,0.55,14.3,0,0,0,0,4,3,0,0,0,42.86,2005,post
Pat Noonan,,F,4,4,334,1,0,9,4,1,0/0,1,0,0.27,11.1,0,0,0,0,8,9,4,0,0,44.44,2005,post
Ricardo Clark,,M,2,2,180,1,0,11,4,0,0/0,0,1,0.5,9.1,0,0,0,0,6,6,0,2,0,36.36,2005,post
Hérculez Gómez,,F,4,4,380,1,0,15,4,0,0/0,1,0,0.24,6.7,0,0,0,0,14,7,4,2,0,26.67,2005,post
Terry Cooke,,M,3,3,300,0,2,3,1,0,0/0,0,0,0,0,0,0,2,0.6,4,2,0,0,0,33.33,2005,post
Cobi Jones,,M,4,4,365,0,2,4,1,0,0/0,0,0,0,0,1,1,1,0.49,4,10,0,0,0,25,2005,post
Thiago,,M,3,3,258,0,2,5,3,0,0/0,0,0,0,0,1,0,2,0.7,7,7,0,1,0,60,2005,post
Peter Vagenas,,M,4,4,390,0,1,0,0,0,0/0,0,0,0,0,0,0,1,0.23,7,11,0,0,0,,2005,post
Brian Mullan,,D,2,2,180,0,1,1,1,0,0/0,0,0,0,0,0,1,0,0.5,6,4,0,0,0,100,2005,post
Greg Vanney,,D,2,2,210,0,1,1,0,0,0/0,0,0,0,0,0,1,0,0.43,1,1,0,0,0,0,2005,post
Taylor Twellman,,F,4,4,390,0,1,3,2,0,0/0,0,0,0,0,0,1,0,0.23,4,16,8,0,0,66.67,2005,post
Bobby Rhine,,M,2,2,181,0,1,3,0,0,0/0,0,0,0,0,0,1,0,0.5,2,6,0,1,0,0,2005,post
Chris Albright,,D,4,4,390,0,1,3,0,0,0/0,0,0,0,0,0,1,0,0.23,9,1,0,2,0,0,2005,post
Roberto Mina,,F,2,1,140,0,1,4,3,0,0/0,0,0,0,0,0,1,0,0.64,3,0,1,0,0,75,2005,post
Shalrie Joseph,,M,4,4,390,0,1,5,2,0,0/0,0,0,0,0,1,1,0,0.23,12,6,1,2,0,40,2005,post
Daniel Hernandez,,M,4,4,332,0,1,5,0,0,0/0,0,0,0,0,1,1,0,0.27,9,7,0,2,0,0,2005,post
Alain Nkong,,M,2,2,144,0,1,5,2,0,0/0,0,0,0,0,0,0,1,0.63,4,3,0,0,1,40,2005,post
Sergio Galvan Rey,,F,2,2,180,0,1,5,4,0,0/0,0,0,0,0,0,0,1,0.5,3,1,7,0,0,80,2005,post
Chris Gbandi,,D,2,2,210,0,1,6,3,0,0/0,0,0,0,0,0,1,0,0.43,3,3,0,1,0,50,2005,post
Chris Rolfe,,F,3,3,225,0,1,10,4,0,0/0,0,0,0,0,0,0,1,0.4,7,3,1,0,0,40,2005,post
Marshall Leonard,,M,2,2,101,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,7,6,1,0,0,,2005,post
Clyde Simms,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Ryan Suarez,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Eric Quill,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Samuel Caballero,,D,1,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,1,0,,2005,post
Wade Barrett,,D,2,2,162,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,1,0,,2005,post
Troy Dayak,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Richard Mulrooney,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Eddie Johnson,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Oscar Pareja,,M,1,0,20,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2005,post
Danny Califf,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,,2005,post
Tyrone Marshall,,D,3,3,300,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,7,5,0,2,0,,2005,post
Leo Cullen,,M,3,3,236,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,,2005,post
Luchi Gonzalez,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Chris Leitch,,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Wolde Harris,,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Diego Serna,,F,1,0,11,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Brandon Prideaux,,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,5,0,0,0,,2005,post
C.J. Brown,,D,3,3,270,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,6,9,0,1,0,,2005,post
Craig Capano,,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2005,post
Jim Curtin,,D,3,3,270,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,1,0,0,0,,2005,post
Pablo Chinchilla,,D,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2005,post
